servicemix-bean:
inboundExchanges,inboundExchangeRate,outboundExchanges,outboundExchangeRate
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
0,0.0,0,0.0
